order;fide_id;name;federation;gender;title;yob
294;14200686;Koepke, Elena;GER;F;WGM;1984
295;14201437;Semenova, Irina;UZB;F;WGM;1990
296;14201526;Muminova, Nafisa;UZB;F;WGM;1990
297;14201780;Kurbonboeva, Sarvinoz;UZB;F;WGM;1994
298;14203626;Tokhirjonova, Gulrukhbegim;USA;F;WGM;1999
299;14301504;Greeff, Melissa;RSA;F;WGM;1994
300;14400073;Misanovic, Vesna;BIH;F;WGM;1964
301;14501619;Medic, Mirjana;CRO;F;WGM;1964
302;14601982;Krivec, Jana;SLO;F;WGM;1980
303;14602334;Kaps, Darja;SLO;F;WGM;1981
304;14603314;Srebrnic, Ana;SLO;F;WGM;1984
305;14609215;Unuk, Laura;SLO;F;WGM;1999
306;14902052;Theissl Pokorna, Regina;AUT;F;WGM;1982
307;14905779;Borosova, Zuzana;SVK;F;WGM;1988
308;24108065;Severiukhina, Zoja;RUS;F;WGM;1990
309;24142654;Belenkaya, Dina;RUS;F;WGM;1993
310;24153648;Obolentseva, Alexandra;RUS;F;WGM;2001
311;24157570;Dordzhieva, Dinara;RUS;F;WGM;1999
312;24165956;Chernyak, Viktoria;RUS;F;WGM;1997
313;24174041;Maltsevskaya, Aleksandra;RUS;F;WGM;2002
314;24605611;Fuchs, Judith;GER;F;WGM;1990
315;24606812;Papp, Sarah;GER;F;WGM;1988
316;24633569;Osmanodja, Filiz;GER;F;WGM;1996
317;24670057;Klek, Hanna Marie;GER;F;WGM;1995
318;34127035;Garifullina, Leya;RUS;F;WGM;2004
