order; fide_id; name; federation; gender; title; yob
199;2102366;Metello, Marcello Gomes;BRA;M;;1978
200;2102374;Campos, Antonio Jose de Souza;BRA;M;;1968
201;2102390;Ratcu, Tatiana;BRA;F;WIM;1979
202;2102404;Santa Cruz, Arthur;BRA;M;;1982
203;2102420;Silva, Alexei Kovalczuk Afonso;BRA;M;;1985
204;2102439;Borges, Leomar Barbero;BRA;M;FM;1963
205;2102447;Takiguchi, Angelica Tidori;BRA;F;;1997
206;2102455;Osipi, Jair;BRA;M;;1962
207;2102498;Pacheco, Fernando Lourenco;BRA;M;;1948
208;2102501;Simoes Jr, Egydio Oman;BRA;M;;1980
209;2102510;Goncalves Junior, Helio Augusto;BRA;M;;1978
210;2102528;Sousa, Rogerio Pereira de;BRA;M;;1980
211;2102536;Tavares Neto, Estevao;BRA;M;;1957
212;2102544;Mourao, Igor A.C.Lofredo;BRA;M;;1991
213;2102579;Da Silva, Reinaldo S.B.;BRA;M;;1975
214;2102587;Fontes, Carlos Henrique Batista;BRA;M;FM;1969
215;2102595;Coutinho, Roberto Cid;BRA;M;;1962
216;2102609;Alvim, Antonio Carlos Rodrigues;BRA;M;;1961
217;2102617;Giordano, Luiz Rafael Goncalves;BRA;M;;1953
218;2102625;Ferreira, Oscar Vieira;BRA;M;;1938
219;2102633;Leite, Eduardo de Souza;BRA;M;;1966
220;2102641;Manzi, Luiz Antonio Bardaro;BRA;M;;1972
221;2102650;Almeida, Carlos Bruno Gomes;BRA;M;;1975
222;2102684;Moraes Neto, Severino Amancio;BRA;M;;1970
223;2102692;Lima Junior, Jose Arlindo Costa;BRA;M;;1992
224;2102706;Batista, Gerson Peres;BRA;M;;1973
225;2102730;Nagashima, Carlos Alberto;BRA;M;;1953
226;2102749;Cota, Flamarion;BRA;M;;1978
227;2102757;Vieira, Jose Renato Braga S.;BRA;M;;1958
228;2102765;Marques, Vinicius de Abreu;BRA;M;IM;1978
229;2102773;Tatiana Duarte Brea;BRA;F;WIM;1978
230;2102781;Giusti, Paulo;BRA;M;;1959
231;2102790;Gomes, Luiz Alexandre de Souza;BRA;M;FM;1970
232;2102803;De Toledo, Charles Mann;BRA;M;;1959
233;2102811;Cabral Mesquita, Jussier;BRA;M;;1975
234;2102838;Pimentel, William Barreto;BRA;M;;1961
235;2102870;Van Riemsdijk, Vinicius;BRA;M;;1978
236;2102889;Cajal, Andre;BRA;M;;1946
237;2102919;Ferreira, Rafael Emiliano;BRA;M;;1976
238;2102927;Silva Sobrinho, Agostinho Jose;BRA;M;;1964
239;2102935;Ferreira, Alexander;BRA;M;;1951
240;2102943;Petry, Croife Ricardo;BRA;M;;1977
241;2102951;Rocha, Vitor Firmo de Souza;BRA;M;;1993
242;2102960;Lima, Allan Gadelha Zaidan;BRA;M;;1989
243;2102978;Galindo, Flavio H. Rocha;BRA;M;;1969
244;2102986;Lima, Diniz Neves;BRA;M;;1962
245;2103001;Mercadante, Ricardo Rodrigues;BRA;M;;1955
246;2103010;Campos, Wellington;BRA;M;;1954
247;2103028;Sant'Ana, Rene Simonato;BRA;M;;1969
248;2103036;Da Silva, Decio Koeler;BRA;M;;1944
249;2103044;Carvalho, Carlos Alberto;BRA;M;;1959
250;2103052;Carvalho, Renato Luiz;BRA;M;;1970
251;2103060;Lima, Nelson Villaboim de O.;BRA;M;;1933
